"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26862.6814743858","28391.9694253836","33918.2538826347","34096.0743360039","35883.4284251767","39237.104263919","41285.5161681207","46286.3596528458","47244.2784486313","50944.6626686661","50308.2512846697","50117.5221960949","52994.8465276497","54430.6297890959","56076.5340306064","55701.1334448028","52329.4381728042","49943.1206040831","46448.9692083544","44274.2833149543","40710.6150415002",
"Albania","ALB","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177978.988285724","196046.731914628","221500.273857558","240088.52707747","263053.673669774","273947.632175895","290613.115352783","307044.078191902","324514.576450522","348918.81439781","372074.527245436","394359.617645516","401906.577289572","421301.528550601","437673.239040126","441220.729208716","457320.568674924","462809.604419607","475660.728101886","494199.264409837","506768.339751017","526582.730489275","533811.093347845","",
"Andorra","AND","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234589.555579962","219220.245628465","221542.168103865","222617.546872441","209490.833223971","200559.84168367","180066.495393521","158210.327113727","133741.881824861","124437.037283447","127248.921127507","130181.068263041","135981.820803722","141800.859641793","148608.385667932","151563.029827678","153344.627601227","152274.069044474","155437.172159959","",
"Argentina","ARG","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","9149.81521166036","9511.31297100186","9265.80945124144","8636.24429596895","9380.16311307216","10206.0832059938","10126.2234244374","9936.1613126897","10077.2691140728","10973.8499347105","10802.5321820488","11777.9658627458","11488.5033815499","11837.2690907449","12292.3203723755","12215.8443611758","11638.4731037051","12163.5376609628","11460.6719051105","12411.0026702896","12406.7819937709","11410.0849989901","10759.0245195133","11084.419362257","11132.1333171088","10375.8984081563","10935.3203854759","11045.3410791977","10788.5072301931","9470.37636894678","9485.88961907439","10327.4259757421","11120.418833498","11951.9416465766","12469.6799569152","11923.4001543034","12405.5008190482","13243.8604176892","13552.5385127704","12930.7565588399","12682.8738054851","11966.321649136","10274.3042099915","11201.6798052358","11202.6095820039","12048.4770030323","14043.8790491388","15258.8263262618","15737.0277103807","14569.2128795048","15860.1531851905","16703.8350159779","16433.9699750447","16683.6493903873","16106.3417089727","16399.9644172425","15831.7729776767","16042.7208684615","15294.9240408857","14787.7680374236","13379.0068481949",
"Armenia","ARM","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","390932.661239231","439913.544815735","473591.615379471","510776.437405766","536651.006453326","557253.588851639","593416.60208991","653640.816462223","747708.032864597","856647.319151808","959169.330382382","1100292.27470729","1261367.79580364","1457425.16742595","1580084.46781143","1339082.03061195","1384049.90560405","1430557.11146444","1538160.04516269","1612150.57146579","1635877.35767978","1672198.31889485","1643242.96031137","1781101.48244716","1836868.85141446","1966686.07563812","1768743.21101428",
"American Samoa","ASM","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
