,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (female/male pop. %)-female,Labour force participation (female/male pop. %)-male,"Life expectancy at birth (females/males, years)-female","Life expectancy at birth (females/males, years)-male",Education: Primary gross enrol. ratio (f/m per 100 pop.)-female,Education: Primary gross enrol. ratio (f/m per 100 pop.)-male,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-female,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-male,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-female,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-male,"Population age distribution (0-14 / 60+ years, %)-0-14 years","Population age distribution (0-14 / 60+ years, %)-60+ years",International migrant stock (000/% of total pop.)-in thousands,International migrant stock (000/% of total pop.)-as % of total pop,CO2 emission estimates (million tons/tons per capita)-million tons,CO2 emission estimates (million tons/tons per capita)-tons per capita,"Pop. using improved drinking water (urban/rural, %)-Urban","Pop. using improved drinking water (urban/rural, %)-Rural","Pop. using improved sanitation facilities (urban/rural, %)-Urban","Pop. using improved sanitation facilities (urban/rural, %)-Rural",country,Region
0,652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,125,125,1458,3568,-2110,-5121,3.2,26.7,4.0,5.3,1513.1,68.6,8.2,0.3,3.3,27.7,61.6,8.3,42,2.1,63,5,21.43,19.3,83.6,63.5,61.0,91.1,131.6,39.7,70.7,3.7,13.3,43.2,4.1,382.4,1.2,9.8,0.3,78.2,47.0,45.1,27.0,Afghanistan,SouthernAsia
1,28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,1.7,8.8,14.6,5.9,1.3,3.5,22.9,106.4,63.3,130,28.2,84,36,2.96,40.2,61.0,79.9,75.6,111.7,115.5,92.5,98.8,68.1,48.7,17.4,19.0,57.6,2.0,5.7,2.0,94.9,95.2,95.5,90.2,Albania,SouthernEurope
2,2381741,41318,17.3,102.0,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160,161,29992,47091,-17099,-27229,2.0,70.7,2.8,3.0,99.8,27.7,7.2,-99.0,-99.0,31.6,113.0,38.2,135,0.8,5900,55,0.05,17.0,70.7,76.5,74.1,112.7,119.5,101.7,98.1,45.1,28.9,29.3,9.4,242.4,0.6,145.4,3.7,84.3,81.8,89.8,82.2,Algeria,NorthernAfrica
3,199,56,278.2,103.6,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,112,112,-99,-99,-99,-99,0.0,87.2,-0.1,2.6,-99.0,9.6,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,92,87.9,-99,-99,-99.0,-99.0,-99.0,77.8,71.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,33.3,9.0,23.2,41.8,-99.0,-99.0,100.0,100.0,62.5,62.5,American Samoa,Polynesia
4,468,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,88.6,-99.0,-99.0,-99.0,-99.0,-99,-99,100,1355,-1255,-99,-1.6,85.1,0.1,1.2,-99.0,-99.0,8.1,3.7,3.3,32.1,88.1,96.9,13,34.0,1,119,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,14.4,19.0,42.1,59.7,0.5,6.4,100.0,100.0,100.0,100.0,Andorra,SouthernEurope
5,1246700,29784,23.9,96.2,117955,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,175,176,21011,8790,12221,-10273,3.5,44.1,5.0,6.0,45.7,65.4,3.3,-99.0,-99.0,38.2,60.8,12.4,146,46.5,3902,25,0.42,59.8,77.1,63.0,57.4,100.4,156.9,22.7,35.1,8.2,10.4,46.8,4.0,106.8,0.4,34.8,1.4,75.4,28.2,88.6,22.5,Angola,MiddleAfrica
6,91,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,82.0,-99.0,-99.0,-99.0,-99.0,-99,-99,2,154,-153,-48,1.2,100.0,1.2,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,177.9,76.0,52,61.1,0,136,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,23.3,7.6,5.5,37.4,0.1,9.8,94.6,-99.0,97.9,-99.0,Anguilla,Caribbean
7,442,102,231.8,92.3,1356,4.1,14764.5,1.9,18.3,79.8,-99.0,-99.0,-99.0,-99.0,88,88,61,491,-429,-204,1.1,23.8,-0.9,2.1,0.0,9.1,5.5,-99.0,-99.0,11.1,137.2,65.2,55,22.3,-99,84,0.12,-99.0,-99.0,78.2,73.3,94.1,100.0,103.8,101.6,31.1,15.1,23.9,10.9,28.1,30.6,0.5,5.8,97.9,97.9,91.4,91.4,Antigua and Barbuda,Caribbean
8,2780400,44271,16.2,95.9,632343,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,119,119,57733,55610,2124,-15944,1.0,91.8,1.0,2.3,5.0,13.7,4.8,3.8,5.3,38.9,143.9,69.4,256,10.0,3167,85,0.01,48.6,74.4,79.8,72.2,109.8,110.2,110.3,103.4,102.9,63.5,24.9,15.4,2086.3,4.8,204.0,4.7,99.0,100.0,96.2,98.3,Argentina,SouthAmerica
9,29743,2930,102.9,88.8,10529,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,135,135,1776,3230,-1455,-279,0.3,62.7,-0.1,1.6,19.3,13.2,4.5,2.8,2.8,9.9,115.2,58.2,114,11.7,48,46,3.17,55.3,74.2,77.0,70.6,98.5,98.5,89.0,88.1,46.9,41.6,20.0,16.9,191.2,6.3,5.5,1.8,100.0,100.0,96.2,78.2,Armenia,WesternAsia
